"","Mau_duration","Community","log","rFq_morph","rFq_action","SigID","Gesture_actionID","MorphID","GoalID"
"127",1.019,"Waibira",0.0188217542405877,0.0186084142394822,0.0194174757281553,"ID_10","G_action_10","Morph_15","Goal_15"
"128",3.078,"Waibira",1.12428003541669,0.0339805825242718,0.147249190938511,"ID_10","G_action_2","Morph_26","Goal_1"
"129",0.785,"Waibira",-0.242071561199729,0.0857605177993527,0.101132686084142,"ID_11","G_action_4","Morph_6","Goal_3"
"130",0.88,"Waibira",-0.127833371509885,0.0186084142394822,0.0194174757281553,"ID_11","G_action_10","Morph_15","Goal_15"
"131",1.32,"Waibira",0.27763173659828,0.0186084142394822,0.0194174757281553,"ID_11","G_action_10","Morph_15","Goal_10"
"132",0.8,"Waibira",-0.22314355131421,0.0169902912621359,0.0202265372168285,"ID_12","G_action_19","Morph_32","Goal_13"
"133",0.866,"Waibira",-0.143870370419702,0.0469255663430421,0.0186084142394822,"ID_12","G_action_26","Morph_5","Goal_13"
"134",0.795,"Waibira",-0.229413164327805,0.000809061488673139,0.0129449838187702,"ID_12","G_action_20","Morph_44","Goal_10"
"135",1.613,"Waibira",0.478095799143072,0.0857605177993527,0.101132686084142,"ID_12","G_action_4","Morph_6","Goal_7"
"136",2.335,"Waibira",0.848011891120861,0.0339805825242718,0.147249190938511,"ID_12","G_action_2","Morph_26","Goal_1"
"137",1.627,"Waibira",0.486737828236901,0.0428802588996764,0.210355987055016,"ID_12","G_action_1","Morph_2","Goal_1"
"138",1.334,"Waibira",0.288181947493432,0.0323624595469256,0.147249190938511,"ID_12","G_action_2","Morph_3","Goal_12"
"139",1.48,"Waibira",0.392042087776024,0.0857605177993527,0.210355987055016,"ID_12","G_action_1","Morph_1","Goal_1"
"140",0.994,"Waibira",-0.00601807232556302,0.040453074433657,0.147249190938511,"ID_12","G_action_2","Morph_25","Goal_1"
"141",1.056,"Waibira",0.0544881852840698,0.0857605177993527,0.210355987055016,"ID_12","G_action_1","Morph_1","Goal_1"
"142",1.211,"Waibira",0.191446464570955,0.00485436893203883,0.147249190938511,"ID_12","G_action_2","Morph_22","Goal_12"
"143",1.367,"Waibira",0.312618557741813,0.0428802588996764,0.210355987055016,"ID_12","G_action_1","Morph_2","Goal_1"
"144",2.02,"Waibira",0.703097511413113,0.0857605177993527,0.210355987055016,"ID_12","G_action_1","Morph_1","Goal_1"
"145",1.08,"Waibira",0.0769610411361284,0.0444983818770227,0.210355987055016,"ID_12","G_action_1","Morph_23","Goal_1"
"146",1.249,"Waibira",0.222343231143441,0.0857605177993527,0.210355987055016,"ID_12","G_action_1","Morph_1","Goal_1"
"147",1.434,"Waibira",0.360467742177429,0.0857605177993527,0.210355987055016,"ID_12","G_action_1","Morph_1","Goal_1"
"148",1.869,"Waibira",0.625403528473426,0.0857605177993527,0.210355987055016,"ID_12","G_action_1","Morph_1","Goal_1"
"149",1.125,"Waibira",0.117783035656383,0.0857605177993527,0.210355987055016,"ID_12","G_action_1","Morph_1","Goal_12"
"150",1.676,"Waibira",0.516410002059891,0.0857605177993527,0.210355987055016,"ID_12","G_action_1","Morph_1","Goal_1"
"151",2.169,"Waibira",0.774266231844737,0.0194174757281553,0.210355987055016,"ID_12","G_action_1","Morph_4","Goal_1"
"152",2.404,"Waibira",0.877134016672961,0.0323624595469256,0.147249190938511,"ID_12","G_action_2","Morph_3","Goal_1"
"153",1.072,"Waibira",0.0695260626486103,0.0275080906148867,0.147249190938511,"ID_12","G_action_2","Morph_38","Goal_1"
"154",0.354,"Waibira",-1.03845836584836,0.0453074433656958,0.0477346278317152,"ID_12","G_action_16","Morph_45","Goal_17"
"155",0.475,"Waibira",-0.744440474947496,0.0453074433656958,0.0477346278317152,"ID_12","G_action_16","Morph_45","Goal_17"
