,ClipName,Record.,Signaller,Recipient,SequenceID,SequenceSize,Gesture,P,Duration,Category,logduration
212,18.7,393,Duane,Zimba,178,1,Object move,0.082142857,0.72,Manual,-0.328504067
213,18.7,394,Duane,Zimba,179,1,Object move,0.082142857,0.44,Manual,-0.820980552
214,18.7,397,Duane,Zimba,180,4,Object move,0.082142857,4.12,Manual,1.415853163
215,18.7,398,Duane,Zimba,180,4,Shake arm,0.003571429,0.84,Manual,-0.174353387
216,18.7,395,Duane,Zimba,180,4,Swing,0.039285714,0.96,Manual,-0.040821995
217,18.7,396,Duane,Zimba,180,4,Swing,0.039285714,2.12,Manual,0.751416089
218,18.7,399,Duane,Zimba,181,1,Object move,0.082142857,0.8,Manual,-0.223143551
219,18.1,400,Duane,Zimba,182,2,Object move,0.082142857,0.56,Manual,-0.579818495
220,18.1,401,Duane,Zimba,182,2,Throw object,0.008928571,0.36,Manual,-1.021651248
221,18.1,402,Duane,Zimba,183,1,Swing,0.039285714,1,Manual,0
222,18.11,404,Duane,Zimba,185,1,Object shake,0.473214286,2.76,Manual,1.01523068
223,18.11,408,Duane,Zimba,186,5,Hit object/ground,0.082142857,0.4,Manual,-0.916290732
224,18.11,407,Duane,Zimba,186,5,Object move,0.082142857,1.8,Manual,0.587786665
225,18.11,409,Duane,Zimba,186,5,Object shake,0.473214286,1.92,Manual,0.652325186
226,18.11,405,Duane,Zimba,186,5,Swing,0.039285714,2.68,Manual,0.985816795
227,18.11,406,Duane,Zimba,186,5,Throw object,0.008928571,0.64,Manual,-0.446287103
228,18.11,410,Duane,Zimba,187,1,Object shake,0.473214286,3.44,Manual,1.235471471
229,18.12,411,Duane,Zimba,188,1,Object shake,0.473214286,2.84,Manual,1.043804052
230,18.12,412,Duane,Zimba,189,2,Hit object/ground,0.082142857,0.76,Manual,-0.274436846
231,18.12,413,Duane,Zimba,189,2,Object shake,0.473214286,1.52,Manual,0.418710335
232,18.12,414,Duane,Zimba,190,1,Object shake,0.473214286,4.6,Manual,1.526056303
233,18.16,420,Duane,Zimba,192,2,Object shake,0.473214286,2.12,Manual,0.751416089
234,18.16,421,Duane,Zimba,193,1,Object shake,0.473214286,3,Manual,1.098612289
235,18.16,422,Duane,Zimba,194,1,Object move,0.082142857,5.08,Manual,1.625311262
236,18.17,423,Duane,Zimba,195,1,Object shake,0.473214286,2.24,Manual,0.806475866
237,18.17,425,Duane,Zimba,196,2,Hit object/ground with object,0.023214286,1.28,Manual,0.246860078
238,18.17,424,Duane,Zimba,196,2,Object shake,0.473214286,3.08,Manual,1.124929597
239,18.17,426,Duane,Zimba,197,1,Hit object/ground with object,0.023214286,0.64,Manual,-0.446287103
240,18.18,427,Duane,Zimba,198,1,Hit object/ground with object,0.023214286,0.6,Manual,-0.510825624
241,18.19,429,Duane,Zimba,199,1,Object shake,0.473214286,2.2,Manual,0.78845736
242,18.19,430,Duane,Zimba,200,2,Object move,0.082142857,2.16,Manual,0.770108222
243,18.19,431,Duane,Zimba,200,2,Object shake,0.473214286,4.64,Manual,1.534714366
244,18.2,433,Duane,Zimba,201,3,Object move,0.082142857,1.6,Manual,0.470003629
245,18.2,432,Duane,Zimba,201,3,Swing,0.039285714,1.92,Manual,0.652325186
246,18.2,434,Duane,Zimba,201,3,Swing,0.039285714,0.88,Manual,-0.127833372
247,18.2,435,Duane,Zimba,202,1,Hit object/ground,0.082142857,0.52,Manual,-0.653926467
248,18.2,436,Duane,Zimba,203,1,Swing,0.039285714,1.28,Manual,0.246860078
