ClipName,Record#,Signaller,SigAge,AgeClass,SigRankElo,Recipient,RecAge,RecAgeClass,Parous,Conception,SexRatio,SequenceID,SequenceSize,SequenceYN,Gesture,p,Context,Duration,Category,TypeN
15.133,656,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,109,1,N,Object shake,0.473214286,Consortship,4.16,Manual,1
15.135,657,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,110,1,N,Object shake,0.473214286,Consortship,8.76,Manual,1
15.139,659,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,111,1,N,Object shake,0.473214286,Consortship,8.32,Manual,1
15.139,660,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,112,1,N,Object shake,0.473214286,Consortship,1.88,Manual,1
15.139,661,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,113,1,N,Object shake,0.473214286,Consortship,1.56,Manual,1
15.143,666,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,116,3,Y,Hit object/ground with object,0.023214286,Consortship,5.52,Manual,1
15.143,668,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,116,3,Y,Hit object/ground with object,0.023214286,Consortship,1.72,Manual,1
15.143,667,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,116,3,Y,Object shake,0.473214286,Consortship,4.2,Manual,1
15.143,669,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,117,1,N,Hit object/ground with object,0.023214286,Consortship,2,Manual,1
15.143,670,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,118,1,N,Hit object/ground with object,0.023214286,Consortship,1.52,Manual,1
15.145,672,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,119,3,Y,Hit object/ground,0.082142857,Consortship,1.48,Manual,1
15.145,673,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,119,3,Y,Object shake,0.473214286,Consortship,1.52,Manual,1
15.145,676,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,120,3,Y,Jump,0.023214286,Consortship,0.56,Body,2
15.145,674,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,120,3,Y,Object shake,0.473214286,Consortship,4.72,Manual,1
15.145,675,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,120,3,Y,Object shake,0.473214286,Consortship,5.4,Manual,1
15.145,677,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,121,2,Y,Object shake,0.473214286,Consortship,0.64,Manual,1
15.145,678,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,121,2,Y,Object shake,0.473214286,Consortship,6.92,Manual,1
15.145,679,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,122,2,Y,Object shake,0.473214286,Consortship,1.4,Manual,1
15.145,680,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,122,2,Y,Shake arm,0.003571429,Consortship,1.04,Manual,1
15.148,682,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,123,3,Y,Hit object/ground with object,0.023214286,Consortship,0.6,Manual,1
15.148,683,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,123,3,Y,Object shake,0.473214286,Consortship,1.8,Manual,1
15.148,684,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,123,3,Y,Stomp 2-feet object/ground,0.005357143,Consortship,1.52,Manual,1
15.148,685,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,124,1,N,Hit object/ground with object,0.023214286,Consortship,2.2,Manual,1
15.148,686,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,125,1,N,Hit object/ground with object,0.023214286,Consortship,0.44,Manual,1
15.148,687,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,126,6,Y,Hit object/ground,0.082142857,Consortship,1.04,Manual,1
15.148,688,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,126,6,Y,Hit object/ground,0.082142857,Consortship,0.88,Manual,1
15.148,689,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,126,6,Y,Object shake,0.473214286,Consortship,3.04,Manual,1
15.148,690,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,126,6,Y,Object shake,0.473214286,Consortship,1.16,Manual,1
15.148,692,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,126,6,Y,Object shake,0.473214286,Consortship,2.72,Manual,1
15.148,691,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,126,6,Y,Stomp object/ground,0.042857143,Consortship,0.28,Manual,1
15.148,693,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,127,1,N,Object shake,0.473214286,Consortship,2.04,Manual,1
15.15,696,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,128,3,Y,Object shake,0.473214286,Consortship,2.12,Manual,1
15.15,695,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,128,3,Y,Swing,0.039285714,Consortship,0.48,Manual,1
15.15,699,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,129,2,Y,Object shake,0.473214286,Consortship,1.24,Manual,1
15.15,698,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,129,2,Y,Swing,0.039285714,Consortship,1.16,Manual,1
15.151,700,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,130,2,Y,Object move,0.082142857,Consortship,3.32,Manual,1
15.151,701,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,130,2,Y,Object shake,0.473214286,Consortship,2.32,Manual,1
15.151,703,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,131,2,Y,Hit object/ground,0.082142857,Consortship,0.88,Manual,1
15.151,702,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,131,2,Y,Swing: with object,0.007142857,Consortship,0.92,Manual,1
15.151,705,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,132,2,Y,Object move,0.082142857,Consortship,1.4,Manual,1
15.151,704,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,132,2,Y,Object shake,0.473214286,Consortship,1.2,Manual,1
15.163,709,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,136,1,N,Object shake,0.473214286,Consortship,2.88,Manual,1
15.163,710,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,137,1,N,Object shake,0.473214286,Consortship,2.12,Manual,1
15.164,711,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,138,2,Y,Object shake,0.473214286,Consortship,2.36,Manual,1
