"","Communication_number","gesture_record_anon","morphs_anon","Signaller","Goal","Lumped_Gs","morph","Social_unit","log","rFq_morph","rFq_action"
"5995","250138","Action_54","Morph_114","FLANLE","Play","Stancebipedal","StanceBipedal.1","Bossou",0.102556588325092,0.0171858216970999,0.0171858216970999
"5996","250138","Action_62","Morph_131","FLANLE","Play","Throwthreat","ThrowThreat.1","Bossou",-0.543004522130226,0.0193340494092374,0.0193340494092374
"5997","250138","Action_62","Morph_131","FLANLE","Play","Throwthreat","ThrowThreat.1","Bossou",-0.931404369684203,0.0193340494092374,0.0193340494092374
"5998","250138","Action_62","Morph_131","FLANLE","Play","Throwthreat","ThrowThreat.1","Bossou",-0.282362910974181,0.0193340494092374,0.0193340494092374
"5999","250138","Action_18","Morph_39","FLANLE","Play","Hitobjectobject","HitObject.1","Bossou",-0.199671195129068,0.0327604726100967,0.00268528464017186
"6000","250109","Action_13","Morph_28","JEJE","Moveaway","Fling","Fling.2","Bossou",-0.524248644098131,0.0209452201933405,0.0773361976369495
"6001","250109","Action_17","Morph_39","JEJE","Moveaway","Hitobject","HitObject.1","Bossou",-0.396009949337409,0.0327604726100967,0.0408163265306122
"6002","250062a","Action_11","Morph_24","YO","Affiliation","Embrace","Embrace.3","Bossou",0.521765563804325,0.00214822771213749,0.00859291084854995
"6003","25007b","Action_13","Morph_27","FOAF","Moveaway","Fling","Fling.1","Bossou",-0.161343150408763,0.056390977443609,0.0773361976369495
"6004","25007b","Action_13","Morph_27","FOAF","Moveaway","Fling","Fling.1","Bossou",-0.911303190363116,0.056390977443609,0.0773361976369495
"6005","25007b","Action_13","Morph_27","FOAF","Moveaway","Fling","Fling.1","Bossou",-0.3147107448397,0.056390977443609,0.0773361976369495
"6006","250128b","Action_45","Morph_101","VELU","Affiliation","Reach","Reach.2","Bossou",-0.0470916075338506,0.027389903329753,0.0719656283566058
"6007","250027","Action_5","Morph_17","FLANLE","Play","Bounce","Bounce.1","Bossou",0.273836665629728,0.0204081632653061,0.0204081632653061
"6008","250113","Action_63","Morph_138","FANLE","Affiliation","Touch","Touch.7","Bossou",-0.586986984731555,0.0107411385606874,0.0429645542427497
"6009","250026","Action_5","Morph_17","FLANLE","Play","Bounce","Bounce.1","Bossou",0.410120919644358,0.0204081632653061,0.0204081632653061
"6010","250026","Action_29","Morph_58","FLANLE","Play","Locomotegallop","LocomoteGallop.1","Bossou",0.81447946572747,0.0134264232008593,0.0134264232008593
"6011","250118","Action_1","Morph_2","FLANLE","Play","Beckon","Beckon.2","Bossou",-0.342490308946776,0.00268528464017186,0.0123523093447905
"6012","250118","Action_50","Morph_109","FLANLE","Play","Shake","Shake.3","Bossou",-0.916290731874155,0.0177228786251343,0.0343716433941998
"6013","250118","Action_1","Morph_2","FLANLE","Play","Beckon","Beckon.2","Bossou",-0.679244275390954,0.00268528464017186,0.0123523093447905
"6014","250062b","Action_11","Morph_22","FANWA","Affiliation","Embrace","Embrace.1","Bossou",0.524136637825663,0.00161117078410311,0.00859291084854995
"6015","250063b","Action_13","Morph_27","YO","Play","Fling","Fling.1","Bossou",-0.750776293396582,0.056390977443609,0.0773361976369495
"6016","250063b","Action_14","Morph_31","YO","Play","Grab","Grab.3","Bossou",-0.703197516413447,0.00805585392051558,0.023093447905478
"6017","250136","Action_62","Morph_131","FLANLE","Play","Throwthreat","ThrowThreat.1","Bossou",0.415415438961332,0.0193340494092374,0.0193340494092374
"6018","250046b","Action_17","Morph_39","JEJE","Moveaway","Hitobject","HitObject.1","Bossou",-0.569161200778954,0.0327604726100967,0.0408163265306122
"6019","250046b","Action_57","Morph_115","JEJE","Moveaway","Stompobject","StompObject.1","Bossou",-0.423120043346885,0.0150375939849624,0.0236305048335124
"6020","250046b","Action_57","Morph_119","JEJE","Moveaway","Stompobject","StompObject.5","Bossou",0.389335726178281,0.00322234156820623,0.0236305048335124
"6021","250143b","Action_13","Morph_27","FANA","Moveaway","Fling","Fling.1","Bossou",-0.740238788093796,0.056390977443609,0.0773361976369495
"6022","250140a","Action_28","Morph_56","FANWA","Affiliation","Locomotebipedal","LocomoteBipedal.1","Bossou",-0.297059234264378,0.0112781954887218,0.0155746509129968
"6023","250140a","Action_39","Morph_83","FANWA","Affiliation","Presentgenitalsbackwards","PresentGenitals.2","Bossou",-0.378336440719912,0.00214822771213749,0.0290010741138561
"6024","250009a","Action_50","Morph_109","FANLE","Affiliation","Shake","Shake.3","Bossou",-0.400477566597125,0.0177228786251343,0.0343716433941998
"6025","250009a","Action_5","Morph_17","FANLE","Affiliation","Bounce","Bounce.1","Bossou",-0.44628710262842,0.0204081632653061,0.0204081632653061
"6026","250125a","Action_62","Morph_131","FLANLE","Affiliation","Throwthreat","ThrowThreat.1","Bossou",-0.59783700075562,0.0193340494092374,0.0193340494092374
"6027","250063a","Action_61","Morph_130","FLANLE","Play","Throwobject","ThrowObject.1","Bossou",-0.44628710262842,0.0161117078410312,0.0161117078410312
"6028","250046a","Action_44","Morph_99","FLANLE","Support","Rakeself","RakeSelf.1","Bossou",-0.522560879984412,0.00537056928034372,0.00537056928034372
"6029","250046a","Action_29","Morph_58","FLANLE","Support","Locomotegallop","LocomoteGallop.1","Bossou",0.202124184090134,0.0134264232008593,0.0134264232008593
"6030","250046a","Action_44","Morph_99","FLANLE","Support","Rakeself","RakeSelf.1","Bossou",-0.839329690738027,0.00537056928034372,0.00537056928034372
"6031","250083","Action_2","Morph_4","JEJE","Groom","Bigloudscratch","BigLoudScratch.2","Bossou",-0.396009949337409,0.0150375939849624,0.0241675617615467
"6032","250143a","Action_33","Morph_62","FLANLE","Play","Objectmove","ObjectMove.2","Bossou",-0.059750004405774,0.0123523093447905,0.0349087003222342
"6033","250143a","Action_8","Morph_19","FLANLE","Play","Dangle","Dangle.1","Bossou",0.41607528722018,0.0257787325456498,0.0257787325456498
"6034","250115","Action_45","Morph_100","FANA","Moveclose","Reach","Reach.1","Bossou",-0.295714244149045,0.0435016111707841,0.0719656283566058
"6035","250114","Action_5","Morph_17","FANA","Play","Bounce","Bounce.1","Bossou",-0.160168752152821,0.0204081632653061,0.0204081632653061
"6036","250092a","Action_42","Morph_90","FANLE","Moveaway","Push","Push.3","Bossou",-0.894040122939335,0.0134264232008593,0.0596133190118153
"6037","250140b","Action_63","Morph_135","YO","Affiliation","Touch","Touch.4","Bossou",-0.744440474947496,0.00483351235230934,0.0429645542427497
"6038","250009b","Action_64","Morph_137","JEJE","Affiliation","Touchlongother","Touch.6","Bossou",1.21846725047639,0.00322234156820623,0.0112781954887218
"6039","250125b","Action_45","Morph_101","YO","Affiliation","Reach","Reach.2","Bossou",-0.614336000135655,0.027389903329753,0.0719656283566058
